,company,title,zps,link,reqs
0,NodaSoft,Системный аналитик (удаленно),от 175 000 руб.,https://hh.ru/vacancy/76781305?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,анализ клиентских бизнес-процессов и формирование решений бизнес-задач;// создание прототипов пользовательских интерфейсов;// разработка технических заданий и участие в запуске разработанных функций.
1,ООО Альфасео,Аналитик / Продуктовый аналитик,от 150 000 руб.,https://hh.ru/vacancy/79469290?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Высшее образование// Аналитический склад ума, внимательность к цифрам и деталям// Опыт работы в 1С: УТ, продвинутый пользователь Excel// Опыт работы в сфере продакт-менеджмента и продуктового анализа// Опыт работы с контрактными производствами в РФ и за рубежом (преимущественно пищевые продукты, БАД, косметика)// Самостоятельность в работе и ответственность за результат// Здоровая инициатива и желание участия в кроссфункциональных проектных командах// Английский язык - не ниже intermediate// Отличные коммуникативные навыки"
2,ООО 24Н Софт,По вашему запросу ещё будут появляться новые вакансии. Присылать вам?,от 150 000 руб.,https://hh.ru/vacancy/78192324?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Имеет опыт полного цикла аналитического исследования: от сбора данных до презентации.// Владеет SQL.// Владеет Python для работы с большим объемом данных.// Умеет визуализировать данные (презентации, построение дашбордов).// Понимает основы математической статистики на уровне умения объяснить, что такое АB тест, как определяется статистическая значимость в тесте.// Обладает знанием веб-аналитики и основных систем. Знает где в консоли браузера можно посмотреть запрос к серверу; понимает, чем отличаются GA и Firebase; умеет прочитать JSON.// Умеет читать техническую документацию английском языке."
3,Like Центр,Продуктовый аналитик,от 150 000 руб.,https://hh.ru/vacancy/78725974?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
4,ООО Виноторговая компания Форт,Продуктовый аналитик-исследователь,от 55 000 руб.,https://hh.ru/vacancy/79203186?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Квотирование товара: принятие решения о перераспределение товара по квотам направлений продаж в связи с изменившейся потребностью;// Резервирование товара: принятие решения о целесообразности резервирования товара, расформировании;// Сбор и консолидация планов продаж: новинки, корректировки (листинг/делистинг);// Сбор и консолидация отчетов по ПДЗ;// Аналитическая отчётность: регулярная и по запросу руководителя."
5,Like Центр,Продуктовый аналитик (младший),до 80 000 руб.,https://hh.ru/vacancy/79654210?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
6,WAZZUP,Продуктовый аналитик,до 150 000 руб.,https://hh.ru/vacancy/78690874?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Улучшать продуктовые метрики;// Проектировать и проводить эксперименты, A/B-тесты;// Отслеживать состояние метрик продукта, искать причины отклонений и возможности для роста;// Выдвигать и проверять гипотезы по улучшению пользовательской воронки."
7,Чиббис,Продуктовый аналитик / Продакт-менеджер,120 000 – 160 000 руб.,https://hh.ru/vacancy/78850529?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"опыт с API Яндекс Метрики, Яндекс Директ, AppMetrica, VK// SQL на высоком уровне (подзапросы, оконные функции, и проч.), чтобы доставать данные для исследований, и строить витрины данных под дашборды// Python с хорошим владением pandas / numpy / библиотеками визуализации для проведения исследований и предоставления их результатов в понятном виде// понимание основ теории вероятности и статистики// продуктовое мышление, чтобы не зарываться в данных, а доставать инсайты, полезные для развития бизнеса// автономность и проактивность"
8,Sensemachine,Продуктовый аналитик | Product Analyst,до 120 000 руб.,https://hh.ru/vacancy/79152459?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Знающий методы проведения количественных исследований, основ статистики и теории вероятности// Понимающий методологию социологических исследований// С опытом самостоятельного написания аналитических отчетов// С аналитическими навыками: строить гипотезы, структурировать информацию, видеть закономерности в данных// С бизнес-ориентированным мышлением: формулировать практические выводы по данным// Обладающий продвинутыми навыками Excel// Со знанием английского языка не ниже Intermediate"
9,Фрифлекс,Продуктовый аналитик / Product Analyst,от 160 000 руб.,https://hh.ru/vacancy/78694897?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Отличное знание SQL, понимание основ реляционных баз данных;// Опыт работы с DWH;// Опыт работы с BI-системами;// Опыт с Python и библиотек анализа данных (Pandas, SciPy);// Приемлемые для статистических выводов знания в области математической статистики;// Принятие решений на основе данных. Data-centic подход;// Опыт работы с гипотезами. Опыт A/B-тестов;// Желателен опыт с системами аналитики, трекинга.// Приветствуется высшее образование в сфере информационных технологий;// Проактивный подход, бодрость духа"
